"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","TMAX","TMIN","r_date","month","day","year","doy","average_temperature","tgrowth10"
"USW00014762","1/1/16",40.3551,-79.92145,379.2,28,-10,2016-01-01,1,1,2016,1,0.9,NA
"USW00014762","1/2/16",40.3551,-79.92145,379.2,28,-21,2016-01-02,1,2,2016,2,0.35,NA
"USW00014762","1/3/16",40.3551,-79.92145,379.2,11,-10,2016-01-03,1,3,2016,3,0.05,NA
"USW00014762","1/4/16",40.3551,-79.92145,379.2,-10,-105,2016-01-04,1,4,2016,4,-5.75,NA
"USW00014762","1/5/16",40.3551,-79.92145,379.2,-21,-132,2016-01-05,1,5,2016,5,-7.65,NA
"USW00014762","1/6/16",40.3551,-79.92145,379.2,61,-99,2016-01-06,1,6,2016,6,-1.9,NA
"USW00014762","1/7/16",40.3551,-79.92145,379.2,89,-49,2016-01-07,1,7,2016,7,2,NA
"USW00014762","1/8/16",40.3551,-79.92145,379.2,67,-21,2016-01-08,1,8,2016,8,2.3,NA
"USW00014762","1/9/16",40.3551,-79.92145,379.2,139,50,2016-01-09,1,9,2016,9,9.45,NA
"USW00014762","1/10/16",40.3551,-79.92145,379.2,100,-60,2016-01-10,1,10,2016,10,2,0.175
"USW00014762","1/11/16",40.3551,-79.92145,379.2,-43,-88,2016-01-11,1,11,2016,11,-6.55,-0.57
"USW00014762","1/12/16",40.3551,-79.92145,379.2,0,-99,2016-01-12,1,12,2016,12,-4.95,-1.1
"USW00014762","1/13/16",40.3551,-79.92145,379.2,-66,-143,2016-01-13,1,13,2016,13,-10.45,-2.15
"USW00014762","1/14/16",40.3551,-79.92145,379.2,72,-66,2016-01-14,1,14,2016,14,0.3,-1.545
"USW00014762","1/15/16",40.3551,-79.92145,379.2,111,44,2016-01-15,1,15,2016,15,7.75,-0.005
"USW00014762","1/16/16",40.3551,-79.92145,379.2,61,0,2016-01-16,1,16,2016,16,3.05,0.49
"USW00014762","1/17/16",40.3551,-79.92145,379.2,0,-110,2016-01-17,1,17,2016,17,-5.5,-0.26
